epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.6737,1.88674,9.42652,2.52176,0.00069,0.20833,0.00835,0.00173,2.21,6.86133,3.0496,0.0991,0.0001,0.0001
2,150.941,1.31536,5.20209,1.69673,0.0009,0.27083,0.00324,0.00101,2.3488,6.11266,3.04094,0.0972994,0.000299406,0.000299406
3,212.8,1.44447,4.36677,1.71908,0.0009,0.27083,0.00132,0.00028,2.82932,6.04,3.32196,0.095498,0.00049802,0.00049802
4,275.765,1.51569,4.01535,1.85847,0.00063,0.1875,0.00139,0.00046,2.91886,5.56292,3.46269,0.0936958,0.000695842,0.000695842
5,335.545,1.45706,3.55672,1.86053,0.00249,0.35417,0.00344,0.00106,2.19486,5.02076,2.92002,0.0918929,0.000892872,0.000892872
6,394.507,1.29768,3.0741,1.79184,0.00406,0.14583,0.00916,0.00328,2.82793,5.66636,3.54167,0.0900891,0.00108911,0.00108911
7,450.414,1.36752,2.22515,1.7099,0.00026,0.0625,0.00054,0.00012,3.71907,5.74595,4.69739,0.0882846,0.00128456,0.00128456
8,507.174,1.75868,2.82054,2.01441,0.0015,0.45833,0.00555,0.00132,2.54819,5.30727,6.94434,0.0864792,0.00147921,0.00147921
9,582.188,1.5392,2.56259,2.02739,0.00169,0.25,0.00914,0.00215,2.4654,8.42122,11.774,0.0846731,0.00167307,0.00167307
10,665.452,1.56258,3.43336,1.91001,0.01216,0.29167,0.00721,0.00234,2.46223,22.8399,11.4764,0.0828661,0.00186614,0.00186614
11,751.063,1.5916,2.27208,1.80044,0.01263,0.35417,0.00866,0.00221,2.69643,83.9808,17.6305,0.0810584,0.00205842,0.00205842
12,833.956,1.54601,2.32757,1.89664,0.05182,0.375,0.03899,0.01278,2.26207,149.918,9.67545,0.0792499,0.00224991,0.00224991
13,921.202,1.3563,2.02576,1.72907,0.1443,0.39583,0.1694,0.09071,2.0364,727.974,11.6757,0.0774406,0.0024406,0.0024406
14,1007.91,1.4022,1.75984,1.71471,0.11139,0.35417,0.06175,0.01337,2.05452,1153.67,14.3942,0.0756305,0.0026305,0.0026305
15,1088.37,1.53397,2.09516,1.8779,0.00828,0.45833,0.11983,0.03118,2.34531,385.513,6.0101,0.0738196,0.00281961,0.00281961
16,1166.71,1.49221,1.75442,1.72795,0.00487,0.5625,0.05321,0.01821,1.98494,190.661,4.39083,0.0720079,0.00300793,0.00300793
17,1247.81,1.40865,1.88759,1.68701,0.00885,0.54167,0.04122,0.01564,1.91477,125.469,4.79934,0.0701955,0.00319546,0.00319546
18,1335.3,1.36428,1.52349,1.62093,0.34946,0.25,0.0212,0.01038,2.21875,329.628,7.92266,0.0683822,0.00338219,0.00338219
19,1430.21,1.66215,2.18875,2.09885,0.00217,0.33333,0.00354,0.00187,2.61094,967.247,14.9621,0.0665681,0.00356813,0.00356813
20,1524.81,1.34596,1.76888,1.75683,0.00081,0.25,0.0169,0.01941,3.03308,3678.26,12.0769,0.0647533,0.00375328,0.00375328
21,1618.61,1.52268,1.92845,1.88007,0.00565,0.29167,0.0031,0.00055,2.42435,4401.01,16.7024,0.0629376,0.00393764,0.00393764
22,1710.58,1.64264,1.67379,1.79611,0.00313,0.29167,0.00319,0.00104,2.11751,5858.33,11.6225,0.0611212,0.00412121,0.00412121
23,1804.2,1.43714,1.76085,1.622,0.0004,0.08333,0.00046,9e-05,2.29699,9089.14,12.434,0.059304,0.00430398,0.00430398
24,1898.25,1.60498,2.37709,1.99463,0.03975,0.07639,0.02776,0.01069,2.30408,13853.6,19.9471,0.057486,0.00448596,0.00448596
25,1981.19,1.43592,1.71234,1.6984,0.00233,0.01852,0.00147,0.00117,2.17744,12871.4,21.559,0.0556672,0.00466715,0.00466715
26,2062.59,1.45102,1.678,1.68425,0,0,0,0,2.65761,25605.4,31.259,0.0538476,0.00484755,0.00484755
27,2146.96,1.88128,2.17773,2.45254,0.00138,0.02083,0.00079,0.00031,2.67983,30811.8,29.3518,0.0520272,0.00502716,0.00502716
28,2230.85,1.53599,1.7013,1.91663,0.00138,0.02083,0.00079,0.00031,2.67983,30811.8,29.3518,0.050206,0.00520597,0.00520597
29,2322.88,1.46885,1.97737,1.82576,0,0,0,0,2.32728,20174.4,12.5327,0.048384,0.00538399,0.00538399
30,2415.06,1.45432,1.62941,1.74762,0.00145,0.08333,0.00096,0.0001,3.13455,10472.2,6.40637,0.0465612,0.00556122,0.00556122
31,2509.1,1.44586,1.57746,1.73213,0.00145,0.08333,0.00096,0.0001,3.13455,10472.2,6.40637,0.0447377,0.00573766,0.00573766
32,2600.93,1.3272,1.39787,1.63924,0,0,0,0,4.77853,17370.5,13.2219,0.0429133,0.00591331,0.00591331
33,2695.9,1.44069,1.39032,1.72806,0,0,0,0,4.6559,9951.46,16.8791,0.0410882,0.00608816,0.00608816
34,2788.71,1.71344,1.80919,1.87453,0,0,0,0,4.6559,9951.46,16.8791,0.0392622,0.00626222,0.00626222
35,2880.67,1.55794,1.69343,1.83591,0.0008,0.08333,0.00058,0.00017,4.15599,13539.2,17.9788,0.0374355,0.00643549,0.00643549
36,2972.29,1.46288,1.34691,1.70452,0,0,0,0,5.12622,107250,27.2972,0.035608,0.00660797,0.00660797
37,3066.87,1.75951,1.81292,2.25275,0,0,0,0,5.12622,107250,27.2972,0.0337797,0.00677966,0.00677966
38,3158.66,1.42631,1.51982,1.75982,0,0,0,0,4.04463,157077,21.1393,0.0319505,0.00695055,0.00695055
39,3252.85,1.43189,1.76556,1.71786,0,0,0,0,4.31495,291150,28.0325,0.0301207,0.00712065,0.00712065
40,3347.76,1.42801,1.48607,1.62111,0,0,0,0,4.31495,291150,28.0325,0.02829,0.00728996,0.00728996
41,3439.86,1.35022,1.80329,1.72862,0,0,0,0,3.58651,125319,17.0333,0.0264585,0.00745848,0.00745848
42,3512.18,1.60834,1.56674,1.81559,0,0,0,0,3.9651,228293,30.0158,0.0246262,0.00762621,0.00762621
43,3581.15,1.36497,1.49158,1.66482,0,0,0,0,3.9651,228293,30.0158,0.0227931,0.00779314,0.00779314
44,3653.32,1.48384,1.40669,1.75501,0,0,0,0,3.96588,280770,34.309,0.0209593,0.00795928,0.00795928
45,3720.51,1.31616,1.23467,1.60425,0,0,0,0,3.96588,280770,34.309,0.0191246,0.00812463,0.00812463
46,3788.25,1.40586,1.47242,1.71423,0,0,0,0,4.00943,192728,23.4532,0.0172892,0.00828919,0.00828919
47,3860.43,1.16927,1.33086,1.61871,0,0,0,0,4.00943,192728,23.4532,0.015453,0.00845296,0.00845296
48,3930.17,1.36843,1.55199,1.73587,0,0,0,0,3.44806,39376,14.165,0.0136159,0.00861593,0.00861593
49,3998.14,1.22359,1.20491,1.54463,0,0,0,0,3.44806,39376,14.165,0.0117781,0.00877811,0.00877811
50,4065.4,1.30506,1.21626,1.63741,0.00092,0.03704,0.00052,0.0001,2.7235,3154.83,6.72521,0.0099395,0.0089395,0.0089395
51,4132.82,1.33163,1.22174,1.71044,0.00092,0.03704,0.00052,0.0001,2.7235,3154.83,6.72521,0.00901,0.00901,0.00901
52,4203.5,1.5242,1.41575,1.93212,0.00163,0.12963,0.00119,0.00042,2.94349,369.631,7.1522,0.0089902,0.0089902,0.0089902
53,4273.75,1.31628,1.16136,1.74679,0.00146,0.11111,0.00101,0.00041,2.94349,369.631,7.1522,0.0089704,0.0089704,0.0089704
54,4343.54,1.25674,1.25315,1.71975,0.00394,0.01852,0.01239,0.00545,3.00833,113.948,5.71726,0.0089506,0.0089506,0.0089506
55,4414.69,1.23588,1.14233,1.51639,0.00394,0.01852,0.01239,0.00545,3.00833,113.948,5.71726,0.0089308,0.0089308,0.0089308
56,4483.73,1.26185,1.25022,1.74728,0.00635,0.12963,0.04548,0.01476,2.81569,151.269,4.35845,0.008911,0.008911,0.008911
57,4550.55,1.22153,1.05652,1.41563,0.00635,0.12963,0.04548,0.01476,2.81569,151.269,4.35845,0.0088912,0.0088912,0.0088912
58,4618.49,1.12244,1.23421,1.54288,0.01579,0.11111,0.05138,0.01351,3.45816,123.615,5.06642,0.0088714,0.0088714,0.0088714
59,4684.57,1.38155,1.2464,1.65108,0.01579,0.11111,0.05138,0.01351,3.45816,123.615,5.06642,0.0088516,0.0088516,0.0088516
60,4750.54,1.21679,1.30129,1.52995,0.38566,0.11111,0.0826,0.03983,3.20226,37.8724,3.85611,0.0088318,0.0088318,0.0088318
61,4816.88,1.35971,1.23532,1.79521,0.38566,0.11111,0.0826,0.03983,3.20226,37.8724,3.85611,0.008812,0.008812,0.008812
62,4883.68,1.20366,0.9916,1.6043,0.36806,0.07407,0.0553,0.02668,2.60503,28.2899,3.37771,0.0087922,0.0087922,0.0087922
63,4951.54,1.18252,1.07135,1.5292,0.36806,0.07407,0.0553,0.02668,2.60503,28.2899,3.37771,0.0087724,0.0087724,0.0087724
