epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,438.466,1.91954,2.51547,2.57286,0.28987,0.43066,0.40973,0.21691,1.54747,2.56061,2.42323,0.0091288,0.0091288,0.0091288
46,447.766,1.86075,2.55404,2.5192,0.25426,0.52862,0.30681,0.13416,1.72969,3.99864,2.60969,0.009109,0.009109,0.009109
47,457.01,1.95813,2.54292,2.57087,0.33788,0.68763,0.34421,0.1772,1.55514,3.18487,2.49152,0.0090892,0.0090892,0.0090892
48,466.226,1.78126,2.43066,2.45811,0.33788,0.68763,0.34421,0.1772,1.55514,3.18487,2.49152,0.0090694,0.0090694,0.0090694
49,475.453,1.75915,2.30999,2.46653,0.23931,0.55469,0.30484,0.17481,1.59876,2.21566,2.51452,0.0090496,0.0090496,0.0090496
50,484.724,1.77105,2.33214,2.46454,0.22294,0.58081,0.30805,0.13855,1.7803,2.28549,2.68515,0.0090298,0.0090298,0.0090298
51,493.927,1.88081,2.37462,2.5521,0.15456,0.49217,0.25649,0.12839,1.72606,2.53203,2.59144,0.00901,0.00901,0.00901
52,503.12,1.81051,2.40384,2.48826,0.23066,0.65253,0.35101,0.17771,1.75761,2.64212,2.58258,0.0089902,0.0089902,0.0089902
53,512.357,1.88904,2.38676,2.59561,0.33295,0.32475,0.28394,0.15229,1.76487,2.6586,2.57829,0.0089704,0.0089704,0.0089704
54,521.7,1.91551,2.48005,2.46539,0.32544,0.3298,0.30092,0.19012,1.50539,2.40204,2.39654,0.0089506,0.0089506,0.0089506
55,530.947,1.98362,2.50246,2.54457,0.41166,0.65898,0.4596,0.26997,1.37341,1.86342,2.2506,0.0089308,0.0089308,0.0089308
56,540.178,2.0037,2.4617,2.50136,0.28269,0.60758,0.3402,0.16434,1.61985,2.14895,2.47416,0.008911,0.008911,0.008911
57,549.266,2.04462,2.48976,2.61349,0.07556,0.36421,0.09151,0.03596,2.00253,2.96572,2.85961,0.0088912,0.0088912,0.0088912
58,558.493,1.94167,2.28154,2.68659,0.07556,0.36421,0.09151,0.03596,2.00253,2.96572,2.85961,0.0088714,0.0088714,0.0088714
59,567.662,1.84526,2.29601,2.60315,0.15199,0.40896,0.24169,0.11232,1.61318,2.50868,2.51714,0.0088516,0.0088516,0.0088516
60,576.961,1.89902,2.35987,2.56872,0.23747,0.72545,0.43193,0.25293,1.54913,2.02759,2.45972,0.0088318,0.0088318,0.0088318
61,586.321,1.83964,2.21671,2.46393,0.25926,0.57652,0.40482,0.20424,1.79468,2.10673,2.61908,0.008812,0.008812,0.008812
62,595.551,1.89041,2.39829,2.49046,0.02993,0.12778,0.03532,0.01551,2.21133,4.84038,3.12098,0.0087922,0.0087922,0.0087922
63,604.75,1.94712,2.35876,2.53692,0.39846,0.13056,0.10498,0.04941,2.19052,4.33317,3.02848,0.0087724,0.0087724,0.0087724
64,613.846,1.82724,2.3632,2.45516,0.42143,0.36162,0.38313,0.22526,1.56038,2.30985,2.42913,0.0087526,0.0087526,0.0087526
65,623.105,1.68429,2.13534,2.33991,0.30957,0.43665,0.51981,0.3022,1.40754,2.38688,2.31124,0.0087328,0.0087328,0.0087328
66,632.398,1.86673,2.23014,2.49362,0.18211,0.4413,0.21787,0.11745,1.56363,2.82835,2.44766,0.008713,0.008713,0.008713
67,641.835,1.73108,2.23283,2.40473,0.0125,0.09978,0.01654,0.00433,1.99076,4.34566,2.78906,0.0086932,0.0086932,0.0086932
68,651.317,1.55313,2.09264,2.25949,0.08627,0.23788,0.11826,0.05275,1.70635,3.32944,2.53068,0.0086734,0.0086734,0.0086734
69,660.691,1.63204,2.14768,2.41182,0.08627,0.23788,0.11826,0.05275,1.70635,3.32944,2.53068,0.0086536,0.0086536,0.0086536
70,670.011,1.62638,2.16724,2.30287,0.39091,0.60042,0.44815,0.25305,1.42166,2.16848,2.27587,0.0086338,0.0086338,0.0086338
71,679.129,1.68056,2.19931,2.36269,0.39548,0.61162,0.50946,0.31275,1.27991,1.87915,2.15556,0.008614,0.008614,0.008614
72,688.235,1.6273,2.07865,2.2847,0.47762,0.52071,0.49491,0.33723,1.33972,1.80149,2.20648,0.0085942,0.0085942,0.0085942
73,697.516,1.76931,2.3236,2.3229,0.45689,0.58578,0.46815,0.29385,1.52932,1.91084,2.3163,0.0085744,0.0085744,0.0085744
74,706.664,1.64159,2.14277,2.28635,0.53277,0.64214,0.51466,0.34598,1.35509,1.79731,2.17363,0.0085546,0.0085546,0.0085546
75,716.044,1.65102,2.14465,2.27562,0.4773,0.68571,0.52948,0.34313,1.30596,1.92059,2.16793,0.0085348,0.0085348,0.0085348
76,725.508,1.74757,2.11596,2.40934,0.55202,0.62791,0.5139,0.32311,1.31369,1.85136,2.17002,0.008515,0.008515,0.008515
77,734.705,1.66743,2.12568,2.32849,0.4392,0.5947,0.43765,0.27275,1.35401,1.75408,2.20109,0.0084952,0.0084952,0.0084952
78,743.887,1.63092,2.20984,2.22753,0.33709,0.48972,0.41583,0.26359,1.40717,1.79369,2.25621,0.0084754,0.0084754,0.0084754
79,753.108,1.73481,2.28028,2.38895,0.33709,0.48972,0.41583,0.26359,1.40717,1.79369,2.25621,0.0084556,0.0084556,0.0084556
80,762.437,1.58148,1.96316,2.30426,0.47656,0.65202,0.53044,0.34102,1.31548,1.69463,2.18536,0.0084358,0.0084358,0.0084358
81,771.757,1.5311,2.04059,2.24755,0.48724,0.7202,0.57164,0.35713,1.49375,1.8501,2.29498,0.008416,0.008416,0.008416
82,781.283,1.62063,2.09526,2.25758,0.46592,0.7202,0.58619,0.40008,1.42989,1.8395,2.19996,0.0083962,0.0083962,0.0083962
83,790.674,1.67184,2.14555,2.25097,0.42896,0.70253,0.57668,0.39189,1.26077,1.77463,2.03405,0.0083764,0.0083764,0.0083764
84,799.997,1.62085,2.15294,2.23222,0.40994,0.57477,0.50977,0.32465,1.24592,1.79878,2.0262,0.0083566,0.0083566,0.0083566
85,809.121,1.66389,2.08722,2.30112,0.31971,0.69489,0.52564,0.29469,1.28697,1.78712,2.05796,0.0083368,0.0083368,0.0083368
86,818.473,1.5991,2.01105,2.2576,0.3035,0.7654,0.50476,0.25737,1.392,1.75781,2.18684,0.008317,0.008317,0.008317
87,827.732,1.79414,2.25889,2.34462,0.38131,0.72079,0.55221,0.29752,1.36788,1.756,2.2121,0.0082972,0.0082972,0.0082972
88,837.043,1.64408,2.18216,2.30769,0.44918,0.58662,0.57315,0.37058,1.26724,1.72646,2.13762,0.0082774,0.0082774,0.0082774
89,846.364,1.64639,2.07469,2.30518,0.4128,0.71703,0.62606,0.415,1.25895,1.80947,2.11576,0.0082576,0.0082576,0.0082576
90,855.568,1.65853,1.96583,2.38007,0.4128,0.71703,0.62606,0.415,1.25895,1.80947,2.11576,0.0082378,0.0082378,0.0082378
91,865.009,1.64594,2.09053,2.34195,0.37576,0.70758,0.57027,0.35531,1.33997,1.91335,2.18256,0.008218,0.008218,0.008218
92,874.521,1.57069,2.01467,2.25363,0.29474,0.67676,0.51684,0.31781,1.38239,1.96074,2.21484,0.0081982,0.0081982,0.0081982
93,883.744,1.62134,2.04048,2.3336,0.34345,0.63207,0.51901,0.30805,1.41204,1.86134,2.26721,0.0081784,0.0081784,0.0081784
94,893.006,1.69259,2.09594,2.31307,0.33207,0.66298,0.55737,0.32703,1.3564,1.76149,2.17859,0.0081586,0.0081586,0.0081586
95,902.392,1.5463,2.1147,2.17087,0.45503,0.64089,0.57905,0.36921,1.24518,1.68124,2.0711,0.0081388,0.0081388,0.0081388
96,911.769,1.56784,2.06989,2.19728,0.51874,0.61041,0.62977,0.42879,1.16311,1.54669,1.97901,0.008119,0.008119,0.008119
97,921.042,1.51576,1.9339,2.23876,0.6864,0.46843,0.61008,0.39389,1.17456,1.52087,2.01117,0.0080992,0.0080992,0.0080992
98,930.283,1.55951,2.11734,2.17716,0.65368,0.49286,0.61799,0.40111,1.18031,1.52396,2.04524,0.0080794,0.0080794,0.0080794
99,939.514,1.56884,1.95354,2.19546,0.65294,0.61162,0.71519,0.44503,1.15976,1.47962,1.99465,0.0080596,0.0080596,0.0080596
