epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2142,1.66413,5.08378,2.24885,0.32314,0.33333,0.33167,0.18811,1.90872,6.32149,2.5697,0.0946,0.0006,0.0006
2,15.4984,1.77889,5.26137,2.14276,0.01457,0.08333,0.00658,0.00222,2.67554,6.55967,3.46786,0.0882974,0.00129743,0.00129743
3,20.7041,1.84082,4.49887,2.15653,0.05843,0.08333,0.08492,0.03413,2.52115,6.46434,3.199,0.0819921,0.00199208,0.00199208
4,25.829,1.9636,4.51026,2.32172,0.32193,0.33333,0.33167,0.22213,1.64309,7.24133,2.26368,0.075684,0.00268396,0.00268396
5,31.0611,1.94421,3.92343,2.33046,0.32193,0.33333,0.33167,0.22213,1.64309,7.24133,2.26368,0.0693731,0.00337307,0.00337307
6,36.3634,1.80171,3.28595,2.15642,0.32283,0.33333,0.33167,0.24247,1.6517,6.97054,2.28812,0.0630594,0.00405941,0.00405941
7,41.5451,1.80776,3.36462,2.18618,0.20782,0.16667,0.17641,0.12361,1.58059,5.85948,2.17342,0.056743,0.00474298,0.00474298
8,46.6159,1.83557,3.11913,2.28447,0.20782,0.16667,0.17641,0.12361,1.58059,5.85948,2.17342,0.0504238,0.00542377,0.00542377
9,51.8185,1.64797,2.90962,2.08613,0.97116,0.25,0.33786,0.20463,1.49402,4.17742,2.12187,0.0441018,0.00610179,0.00610179
10,56.965,1.66051,3.14608,2.11388,0.97116,0.25,0.33786,0.20463,1.49402,4.17742,2.12187,0.037777,0.00677704,0.00677704
11,62.1416,1.79581,2.95697,2.25194,0.87747,0.08333,0.12198,0.0542,2.91192,4.75649,3.6639,0.0314495,0.00744952,0.00744952
12,67.2466,1.64112,2.69735,2.14477,0.87747,0.08333,0.12198,0.0542,2.91192,4.75649,3.6639,0.0251192,0.00811923,0.00811923
13,72.3556,1.6974,2.67389,2.13339,0.87747,0.08333,0.12198,0.0542,2.91192,4.75649,3.6639,0.0187862,0.00878616,0.00878616
14,77.4266,1.76452,2.57598,2.14278,0.2405,0.41435,0.28277,0.10432,2.04301,2.97753,2.76122,0.0124503,0.00945032,0.00945032
15,82.6139,1.73045,2.7545,2.01071,0.2405,0.41435,0.28277,0.10432,2.04301,2.97753,2.76122,0.0097228,0.0097228,0.0097228
16,87.8768,1.76298,2.55323,2.18965,0.2405,0.41435,0.28277,0.10432,2.04301,2.97753,2.76122,0.009703,0.009703,0.009703
17,93.0924,1.80403,2.59349,2.23539,0.47677,0.54398,0.30856,0.105,1.61883,3.20659,2.28442,0.0096832,0.0096832,0.0096832
18,98.2959,1.82961,2.30948,2.23827,0.47677,0.54398,0.30856,0.105,1.61883,3.20659,2.28442,0.0096634,0.0096634,0.0096634
19,103.408,1.92127,2.72937,2.35652,0.47677,0.54398,0.30856,0.105,1.61883,3.20659,2.28442,0.0096436,0.0096436,0.0096436
20,108.601,1.63377,2.46925,2.14759,0.55956,0.25694,0.1354,0.07349,2.10247,4.47458,2.96844,0.0096238,0.0096238,0.0096238
